Top Level Genre,Sub Genre,URL,Title,Author
Romance,Post-Apocalyptic Romance,https://www.skool.com/story-hacker/post-apocalyptic-romance-genre-guides,Post-Apocalyptic Romance Genre Guides,Mitch White
Romance,Science Fiction Romance,https://www.skool.com/story-hacker/science-fiction-romance-genre-guides,Science Fiction Romance Genre Guides,Mitch White
Romance,Second Chance Romance,https://www.skool.com/story-hacker/second-chance-romance-genre-guides,Second Chance Romance Genre Guides,Mitch White
Romance,Silver Romance,https://www.skool.com/story-hacker/silver-romance-genre-guides,Silver Romance Genre Guides,Mitch White
Romance,Small Town Romance,https://www.skool.com/story-hacker/small-town-romance-genre-guide?p=99a2ee7c,Small Town Romance Genre Guide,
Romance,Sports Romance,https://www.skool.com/story-hacker/sports-romance-genre-guide,Sports Romance Genre Guide,Dom Ioanna
Romance,Teen Angst Romance,https://www.skool.com/story-hacker/teen-angst-romance-genre-guides,Teen Angst Romance Genre Guides,Mitch White
Romance,Time Travel Romance,https://www.skool.com/story-hacker/time-travel-romance-genre-guides,Time Travel Romance Genre Guides,Mitch White
Romance,Urban Fantasy Romance,https://www.skool.com/story-hacker/urban-fantasy-romance-genre-guides,Urban Fantasy Romance Genre Guides,Mitch White
Romantasy,Cozy Romantasy,https://www.skool.com/story-hacker/cozy-romantasy-genre-guide,Cozy Romantasy Genre Guide,Dom Ioanna
Romantasy,Dark Romantasy,https://www.skool.com/story-hacker/dark-romantasy-genre-guide,Dark Romantasy Genre Guide,Dom Ioanna
Romantasy,MMA/UFC Romantasy,https://www.skool.com/story-hacker/mmaufc-romantasy-genre-guides,MMA/UFC Romantasy Genre Guides,Mitch White
Romantasy,Romantasy Fairytale Retellings,https://www.skool.com/story-hacker/romantasy-fairytale-retellings-genre-guide,Romantasy Fairytale Retellings Genre Guide,Dom Ioanna
Romantasy,Romantasy Fiction,https://www.skool.com/story-hacker/romantasy-fiction-genre-guides,Romantasy Fiction Genre Guides,Mitch White
Science Fiction,Ancient World Science Fiction,https://www.skool.com/story-hacker/ancient-world-science-fiction-genre-guide,Ancient World Science Fiction Genre Guide,Dom Ioanna
Science Fiction,Biopunk,https://www.skool.com/story-hacker/biopunk-genre-guides,Biopunk Genre Guides,Mitch White
Science Fiction,Cozy Science Fiction,https://www.skool.com/story-hacker/cozy-science-fiction-genre-guides,Cozy Science Fiction Genre Guides,Mitch White
Science Fiction,Cyberpunk,https://www.skool.com/story-hacker/cyberpunk-genre-guides,Cyberpunk Genre Guides,Mitch White
Science Fiction,Dieselpunk,https://www.skool.com/story-hacker/dieselpunk-genre-guides,Dieselpunk Genre Guides,Mitch White
Science Fiction,Hard Science Fiction,https://www.skool.com/story-hacker/hard-science-fiction-genre-guides,Hard Science Fiction Genre Guides,Mitch White
Science Fiction,Medieval Science Fiction,https://www.skool.com/story-hacker/medieval-science-fiction-genre-guide,Medieval Science Fiction Genre Guide,Dom Ioanna
Science Fiction,Military SF,https://www.skool.com/story-hacker/military-sf-genre-guides,Military SF Genre Guides,Mitch White
Science Fiction,Portal Science Fiction,https://www.skool.com/story-hacker/portal-science-fiction-genre-guides,Portal Science Fiction Genre Guides,Mitch White
Science Fiction,Sandalpunk,https://www.skool.com/story-hacker/sandalpunk-genre-guide,Sandalpunk Genre Guide,Dom Ioanna
Science Fiction,Space Opera SF,https://www.skool.com/story-hacker/space-opera-sf-genre-guides,Space Opera SF Genre Guides,Mitch White
Science Fiction,Steampunk,https://www.skool.com/story-hacker/steampunk-genre-guides,Steampunk Genre Guides,Mitch White
Suspense,Romantic Suspense,https://www.skool.com/story-hacker/romantic-suspense-genre-guide,Romantic Suspense Genre Guide,Dom Ioanna
Thriller,Comedy Thriller,https://www.skool.com/story-hacker/comedy-thriller-genre-guides,Comedy Thriller Genre Guides,Mitch White
Thriller,Dark Romance,https://www.skool.com/story-hacker/dark-romance-thriller-genre-guide?p=c75e79c5,Dark Romance Thriller Genre Guide,Dom Ioanna
Thriller,Domestic Thriller (Grip-Lit),https://www.skool.com/story-hacker/domestic-thriller-grip-lit-genre-guides,Domestic Thriller (Grip-Lit) Genre Guides,Mitch White
Thriller,Forensic Thriller,https://www.skool.com/story-hacker/forensic-thriller-genre-guides,Forensic Thriller Genre Guides,Mitch White
Thriller,Heist (Caper) Fiction,https://www.skool.com/story-hacker/heist-caper-fiction-genre-guides,Heist (Caper) Fiction Genre Guides,Mitch White
Thriller,Historical Thriller,https://www.skool.com/story-hacker/historical-thriller-genre-guides,Historical Thriller Genre Guides,Mitch White
Thriller,Legal Thriller,https://www.skool.com/story-hacker/legal-thriller-genre-guides,Legal Thriller Genre Guides,Mitch White
Thriller,Mafia Thriller,https://www.skool.com/story-hacker/mafia-thriller-genre-guides,Mafia Thriller Genre Guides,Mitch White
